date,sector,exchange,pe
2023-10-24,Technology,NASDAQ,38.69642864269926
2023-10-23,Technology,NASDAQ,38.177203389867245
2023-10-20,Technology,NASDAQ,37.503862436881185
2023-10-19,Technology,NASDAQ,38.230495337500344
2023-10-18,Technology,NASDAQ,38.43906609311841
2023-10-17,Technology,NASDAQ,39.335449025447076
2023-10-16,Technology,NASDAQ,39.916677537367484
2023-10-13,Technology,NASDAQ,39.37462163602959
2023-10-12,Technology,NASDAQ,40.19802948604659
2023-10-11,Technology,NASDAQ,40.383625437824875
2023-10-10,Technology,NASDAQ,39.87985365800061
2023-10-09,Technology,NASDAQ,39.59356314487019
2023-10-06,Technology,NASDAQ,39.58418018493338
2023-10-05,Technology,NASDAQ,38.60408881438522
2023-10-04,Technology,NASDAQ,38.41614769498396
2023-10-03,Technology,NASDAQ,37.82701750652641
2023-10-02,Technology,NASDAQ,38.73708826563892
2023-09-29,Technology,NASDAQ,38.154005746570604
2023-09-28,Technology,NASDAQ,37.99798147835536
2023-09-27,Technology,NASDAQ,37.506825465264335
2023-09-26,Technology,NASDAQ,37.23447310504217
2023-09-25,Technology,NASDAQ,37.740435652218785
2023-09-22,Technology,NASDAQ,37.3789444765341
2023-09-21,Technology,NASDAQ,37.214785491978205
2023-09-20,Technology,NASDAQ,37.91758595565288
2023-09-19,Technology,NASDAQ,38.76201772663223
2023-09-18,Technology,NASDAQ,39.13551806661995
2023-09-15,Technology,NASDAQ,39.16796059498199
2023-09-14,Technology,NASDAQ,38.75541212183483
2023-09-13,Technology,NASDAQ,38.59187871217143
2023-09-12,Technology,NASDAQ,38.392460190122506
2023-09-11,Technology,NASDAQ,38.93642441368264
2023-09-08,Technology,NASDAQ,38.802684105457246
2023-09-07,Technology,NASDAQ,38.93048156775056
2023-09-06,Technology,NASDAQ,39.5673680790799
2023-09-05,Technology,NASDAQ,40.32980221463248
2023-09-01,Technology,NASDAQ,40.20728791784453
2023-08-31,Technology,NASDAQ,40.37043988142743
2023-08-30,Technology,NASDAQ,40.25493937632544
2023-08-29,Technology,NASDAQ,39.87435531926728
2023-08-28,Technology,NASDAQ,38.800170657862374
2023-08-25,Technology,NASDAQ,38.446901198740754
2023-08-24,Technology,NASDAQ,38.62505522582446
2023-08-23,Technology,NASDAQ,46.16191902235811
2023-08-22,Technology,NASDAQ,44.9643915425308
2023-08-21,Technology,NASDAQ,45.67593922591044
2023-08-18,Technology,NASDAQ,43.23311358989878
2023-08-17,Technology,NASDAQ,43.188102963773126
2023-08-16,Technology,NASDAQ,43.62576208146618
2023-08-15,Technology,NASDAQ,44.06398956482077
2023-08-14,Technology,NASDAQ,44.371259839912135
2023-08-11,Technology,NASDAQ,42.53361999524808
2023-08-10,Technology,NASDAQ,43.43039592339317
2023-08-09,Technology,NASDAQ,42.984277331320534
2023-08-08,Technology,NASDAQ,44.38893594129501
2023-08-07,Technology,NASDAQ,45.22721645489828
2023-08-04,Technology,NASDAQ,44.77556988285234
2023-08-03,Technology,NASDAQ,45.18824892120908
2023-08-02,Technology,NASDAQ,45.01489375146783
2023-08-01,Technology,NASDAQ,46.77121850559549
2023-07-31,Technology,NASDAQ,47.127814730782525
2023-07-28,Technology,NASDAQ,47.01387221353312
2023-07-27,Technology,NASDAQ,46.039783021566734
2023-07-26,Technology,NASDAQ,45.62167533960135
2023-07-25,Technology,NASDAQ,46.43991254603594
2023-07-24,Technology,NASDAQ,45.58440278622845
2023-07-21,Technology,NASDAQ,45.42772480943754
2023-07-20,Technology,NASDAQ,46.164595661947516
2023-07-19,Technology,NASDAQ,47.687444894932774
2023-07-18,Technology,NASDAQ,48.00801607884657
2023-07-17,Technology,NASDAQ,47.06861308690914
2023-07-14,Technology,NASDAQ,46.20936376221682
2023-07-13,Technology,NASDAQ,46.42394442850429
2023-07-12,Technology,NASDAQ,44.952881779713785
2023-07-11,Technology,NASDAQ,44.00790931430423
2023-07-10,Technology,NASDAQ,43.85423734936356
2023-07-07,Technology,NASDAQ,43.97451051214716
2023-07-06,Technology,NASDAQ,43.91347287394523
2023-07-05,Technology,NASDAQ,44.09892149614501
2023-07-03,Technology,NASDAQ,44.18003316534747
2023-06-30,Technology,NASDAQ,44.59629074257637
2023-06-29,Technology,NASDAQ,43.45743666515527
2023-06-28,Technology,NASDAQ,43.83176284062702
2023-06-27,Technology,NASDAQ,44.397477250173296
2023-06-26,Technology,NASDAQ,43.33933745870962
2023-06-23,Technology,NASDAQ,44.44433983703342
2023-06-22,Technology,NASDAQ,45.066060509084984
2023-06-21,Technology,NASDAQ,44.739473528840044
2023-06-20,Technology,NASDAQ,45.543350832640115
2023-06-16,Technology,NASDAQ,45.09446004588408
2023-06-15,Technology,NASDAQ,45.368819414863346
2023-06-14,Technology,NASDAQ,45.16422346816908
2023-06-13,Technology,NASDAQ,43.97985566235706
2023-06-12,Technology,NASDAQ,43.07866747086534
2023-06-09,Technology,NASDAQ,42.24456652452509
2023-06-08,Technology,NASDAQ,41.82885972665374
2023-06-07,Technology,NASDAQ,41.03482129473256
2023-06-06,Technology,NASDAQ,42.23264554915117
2023-06-05,Technology,NASDAQ,42.5202504023382
2023-06-02,Technology,NASDAQ,42.503010294463266
2023-06-01,Technology,NASDAQ,42.599112052811165
2023-05-31,Technology,NASDAQ,41.362188310345054
2023-05-30,Technology,NASDAQ,42.504619223831185
2023-05-26,Technology,NASDAQ,41.81028779766428
2023-05-25,Technology,NASDAQ,40.89655029663335
2023-05-24,Technology,NASDAQ,36.34112253073779
2023-05-23,Technology,NASDAQ,36.44002637731411
2023-05-22,Technology,NASDAQ,37.043974534640945
2023-05-19,Technology,NASDAQ,36.848897706084735
2023-05-18,Technology,NASDAQ,37.06404674826684
2023-05-17,Technology,NASDAQ,35.98446814209597
2023-05-16,Technology,NASDAQ,35.424071518896206
2023-05-15,Technology,NASDAQ,34.916812052248176
2023-05-12,Technology,NASDAQ,34.47180645689958
2023-05-11,Technology,NASDAQ,34.601089460811664
2023-05-10,Technology,NASDAQ,34.84097159647003
2023-05-09,Technology,NASDAQ,34.422600803891015
2023-05-08,Technology,NASDAQ,34.37465985383495
2023-05-05,Technology,NASDAQ,34.13365517863554
2023-05-04,Technology,NASDAQ,33.24604557247662
2023-05-03,Technology,NASDAQ,33.187220998521695
2023-05-02,Technology,NASDAQ,33.25866532784162
2023-05-01,Technology,NASDAQ,33.679778105388145
2023-04-28,Technology,NASDAQ,33.446022975757835
2023-04-27,Technology,NASDAQ,32.68085888587456
2023-04-26,Technology,NASDAQ,32.070961672121456
2023-04-25,Technology,NASDAQ,31.320424819991768
2023-04-24,Technology,NASDAQ,32.19898507091806
2023-04-21,Technology,NASDAQ,32.40662393994089
2023-04-20,Technology,NASDAQ,32.492830339794914
2023-04-19,Technology,NASDAQ,33.01481866695636
2023-04-18,Technology,NASDAQ,32.94180232072127
2023-04-17,Technology,NASDAQ,32.677818960525286
2023-04-14,Technology,NASDAQ,32.51519188974748
2023-04-13,Technology,NASDAQ,32.575268248854265
2023-04-12,Technology,NASDAQ,32.081216131322485
2023-04-11,Technology,NASDAQ,32.299521492023736
2023-04-10,Technology,NASDAQ,32.67911646076328
2023-04-06,Technology,NASDAQ,32.55445421632801
2023-04-05,Technology,NASDAQ,32.2706782064795
2023-04-04,Technology,NASDAQ,32.86984512398835
2023-04-03,Technology,NASDAQ,33.036130805795224
2023-03-31,Technology,NASDAQ,33.16720797605979
2023-03-30,Technology,NASDAQ,32.55193558595347
2023-03-29,Technology,NASDAQ,32.15855785012822
2023-03-28,Technology,NASDAQ,31.36567441839772
2023-03-27,Technology,NASDAQ,31.465039136271898
2023-03-24,Technology,NASDAQ,31.678469367719757
2023-03-23,Technology,NASDAQ,31.842094650524476
2023-03-22,Technology,NASDAQ,31.169789680250684
2023-03-21,Technology,NASDAQ,31.35501149123331
2023-03-20,Technology,NASDAQ,31.002106912786584
2023-03-17,Technology,NASDAQ,31.047605776165568
2023-03-16,Technology,NASDAQ,30.986661679605554
2023-03-15,Technology,NASDAQ,29.861642614226675
2023-03-14,Technology,NASDAQ,29.70722763114126
2023-03-13,Technology,NASDAQ,28.910527298544817
2023-03-10,Technology,NASDAQ,28.544863860472713
2023-03-09,Technology,NASDAQ,29.194980118367674
2023-03-08,Technology,NASDAQ,30.215584688414552
2023-03-07,Technology,NASDAQ,29.820129580635754
2023-03-06,Technology,NASDAQ,30.09471504163819
2023-03-03,Technology,NASDAQ,30.11114276363691
2023-03-02,Technology,NASDAQ,29.533713318109974
